id,tag,sex,birth,genotype,loc,color,parentM,parentF,death
1,9933,F,2019-06-06,P1 fl/fl,3K,,,,
2,9934,F,2019-06-06,P1 fl/fl,3J,,,,
3,11633,F,2019-08-15,P1Fx/+,4M,,,,
4,11841,F,2019-08-29,P1 fl/fl,4J,,,,
5,12267,M,2019-09-13,P1Fx/P1Fx,3N,,,,
6,12849,F,2019-09-30,P1x/+,,,,,2020-01-12
7,12851,F,2019-09-30,P1x/+,4K,,,,
8,12854,M,2019-09-30,P1x/+,4K,,,,
9,13179,F,2019-10-10,P1Fx/P1Fx,3M,,,,2020-01-23
10,13180,F,2019-10-10,P1Fx/P1Fx,3M,,,,
11,13260,M,2019-09-25,P1x/+,3I,,,,
12,14235,F,2019-11-01,P1x/+,3I,,,,
13,14238,M,2019-11-01,P1x/+,2J,,,,
14,14995,F,2019-10-16,C57BL/6J,3H,,,,
15,14996,F,2019-10-16,C57BL/6J,3I,,,,2020-01-30
16,14997,F,2019-10-16,C57BL/6J,4H,,,,
17,14998,F,2019-10-16,C57BL/6J,4I,,,,
18,14999,F,2019-11-14,AcanCreER/CreER,3L,,,,
19,15000,M,2019-10-23,C57BL/6J,3L,,,,
20,15001,F,2019-10-29,AcanCreER/+,3N,,,,
21,15002,M,2019-10-29,AcanCreER/+,3M,,,,
22,15419,F,2019-12-24,P1x/+,1J,,,,
23,15420,F,2019-12-24,WT,1J,,,,
24,15421,F,2019-12-24,P1x/x,1J,,,,
25,15422,F,2019-12-24,WT,1J,,,,
26,15423,F,2019-12-24,P1x/+,1J,,,,
27,15424,M,2019-12-24,WT,2H,,,,
28,15427,F,2019-11-06,C57BL/6J,2J,,,,
29,15428,F,2019-11-06,C57BL/6J,2J,,,,
30,15662,F,2020-01-01,AcanCreER/+,6N,,,,
31,15663,F,2020-01-01,P1Fx/+;AcanCreER/+,6N,,,,2020-02-10
32,15664,F,2020-01-01,P1Fx/+;AcanCreER/+,6N,,,,2020-02-10
33,15665,M,2020-01-01,P1Fx/+;AcanCreER/+,7N,,,,
34,15666,M,2020-01-01,P1Fx/+;AcanCreER/+,7N,,,,2020-02-12
35,15667,M,2020-01-01,AcanCreER/+,7N,,,,2020-02-12
36,15668,M,2020-01-01,AcanCreER/+,7N,,,,
37,15669,M,2020-01-01,AcanCreER/+,7N,,,,2020-02-12
38,15670,F,2020-01-01,AcanCreER/+,1M,,,,
39,15671,F,2020-01-01,P1Fx/+;AcanCreER/+,1M,,,,
40,15672,M,2020-01-01,AcanCreER/+,2L,,,,
41,15673,M,2020-01-01,AcanCreER/+,2L,,,,
42,15674,M,2020-01-01,AcanCreER/+,2L,,,,
43,15675,M,2020-01-01,P1Fx/+;AcanCreER/+,1N,,,,
44,15676,M,2020-01-01,AcanCreER/+,1N,,,,
45,15677,M,2020-01-01,P1Fx/+;AcanCreER/+,1N,,,,
46,15678,F,2020-01-07,WT,1K,,,,
47,15679,F,2020-01-07,P1x/+,1K,,,,
48,15680,M,2020-01-07,P1x/+,1L,,,,
49,15681,M,2020-01-07,P1x/+,1L,,,,
50,15682,M,2020-01-07,P1x/+,1L,,,,
51,15683,M,2020-01-07,P1x/+,1L,,,,
52,15684,F,2020-01-10,P1x/+,4L,,,,
53,15685,F,2020-01-10,WT,4L,,,,
54,15686,M,2020-01-10,P1x/+,2K,,,,
55,15687,M,2020-01-10,WT,2K,,,,
56,15688,M,2020-01-10,WT,2K,,,,
57,12167-15003,F,2019-08-27,P1Fx/+,4N,,,,
58,LL,M,2019-07-02,AcanCreER/CreER,4J,,,,
59,LR,M,2019-07-02,AcanCreER/CreER,3J,,,,
60,16116,F,2020-01-23,,6M,,,,
61,16117,F,2020-01-23,,6M,,,,
62,16118,F,2020-01-23,,6M,,,,
63,16119,M,2020-01-23,,4J,,,,
64,16120,M,2020-01-23,,4J,,,,
65,16121,M,2020-01-23,,4J,,,,
66,16122,M,2020-01-23,,4J,,,,
67,16123,M,2020-01-23,,4J,,,,
